hashtag_H	cluster_C_leader(userID)	relative_frequency_H_C	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_hashtags_in_C	count_H_entire_dataset	count_hashtags_entire_dataset
putinhitler	1443759943	.65830721003134796236	.10344827586206896551	.15714285714285714285	3	29	429	2730
putinwarcrimes	1443759943	10.45977011494252874535	.03448275862068965517	.00329670329670329670	1	29	9	2730
stopputinnow	1443759943	1.30747126436781609201	.10344827586206896551	.07912087912087912087	3	29	216	2730
russiasanctions	1443759943	1.33845399575093969606	.10344827586206896551	.07728937728937728937	3	29	211	2730
boycottrussia	1443759943	1.36431784107946026987	.10344827586206896551	.07582417582417582417	3	29	207	2730
genocide	1443759943	1.55599886007409518385	.06896551724137931034	.04432234432234432234	2	29	121	2730
gaza	1443759943	7.53103448275862069665	.06896551724137931034	.00915750915750915750	2	29	25	2730
idlib	1443759943	8.96551724137931035316	.06896551724137931034	.00769230769230769230	2	29	21	2730
yemen	1443759943	9.41379310344827587082	.06896551724137931034	.00732600732600732600	2	29	20	2730
ukraine	1443759943	5.06117908787541713068	.17241379310344827586	.03406593406593406593	5	29	93	2730
trumpcoupattempt	19739126	18.95833333333333335039	.05555555555555555555	.00293040293040293040	2	36	8	2730
sad	19739126	37.91666666666666669396	.02777777777777777777	.00073260073260073260	1	36	2	2730
trumpcoupattempt	19739126	18.95833333333333335039	.05555555555555555555	.00293040293040293040	2	36	8	2730
republicansaretraitors	19739126	75.83333333333333338793	.02777777777777777777	.00036630036630036630	1	36	1	2730
trumptraitor	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
insurrectionist	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
insurrectionhasconsequences	19739126	37.91666666666666670079	.05555555555555555555	.00146520146520146520	2	36	4	2730
shameonkevinmccarthy	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
mccarthyisaweakman	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
kevinmccarthylowlif	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
lockhimup	19739126	37.91666666666666670079	.05555555555555555555	.00146520146520146520	2	36	4	2730
kevinmccarthyresign	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
kevinmccarthyisathreattoamericandemocracy	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
shameonmccarthy	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
shameonrebuplicans	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
trumptraitor	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
insurrectionist	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
insurrectionhasconsequences	19739126	37.91666666666666670079	.05555555555555555555	.00146520146520146520	2	36	4	2730
shameonkevinmccarthy	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
mccarthyisaweakman	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
kevinmccarthylowlif	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
lockhimup	19739126	37.91666666666666670079	.05555555555555555555	.00146520146520146520	2	36	4	2730
kevinmccarthyresign	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
kevinmccarthyisathreattoamericandemocracy	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
shameonmccarthy	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
shameonrebuplicans	19739126	75.83333333333333340158	.05555555555555555555	.00073260073260073260	2	36	2	2730
kevinslies	19739126	75.83333333333333338793	.02777777777777777777	.00036630036630036630	1	36	1	2730
partyoflies	19739126	30.33333333333333336336	.11111111111111111111	.00366300366300366300	4	36	10	2730
medicare4all	19739126	75.83333333333333338793	.02777777777777777777	.00036630036630036630	1	36	1	2730
